	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679857_20A.CEL	GSM679858_3B.CEL
205856_at	2.29342987527875	2.62145986281347	2.39315256212613	2.47074130608384	7.24709154295558	6.87123318260615
205857_at	3.12602008010827	3.34334148201404	2.93976747299402	3.30009171068693	2.94744505751137	2.7748430560293
205858_at	5.32225987830808	5.69642941964672	5.30583646560026	5.5611630134216	4.61161063321757	4.54214182956218
205859_at	4.52072427744469	4.84648648638326	4.35482798232756	4.58775181543704	4.35655175434996	4.52478363766985
205860_x_at	2.40440856438717	2.44203846553017	2.41493983718051	2.44203846553017	2.44119887660396	2.4810818894163
205861_at	4.54054526202308	4.13604160411088	4.28174005604624	4.39187586935047	4.54141677090759	4.20138625144083
205862_at	2.4358442209167	2.54893113116352	2.35599271914468	2.22157771666863	3.0312719318914	2.65647997124144
205863_at	3.65564051620688	3.66877042490207	3.91552627591486	3.77384758245286	3.87959880634444	3.56527118413597
205864_at	4.10669874505189	4.0517505302526	3.68976667213271	4.10706627253559	4.28244068919796	3.79846583057466
205865_at	5.65960415165236	5.88441000721935	5.86667967281115	5.8924154430148	5.6770576305493	5.72070383061862
205866_at	3.9636469292946	3.83278715763028	3.85082380235708	3.99908857938111	4.08307761541406	3.6842793522818
205867_at	3.6738030657025	3.87514531926083	3.79034380953262	4.21249810480161	3.6738030657025	3.60756352883228
205868_s_at	5.72291521268775	5.51904850140944	5.60606056580733	6.05684813226793	4.99155702874819	5.00779401654334
205869_at	3.05928580447895	2.91639257659887	2.65806065562856	2.97212132050639	3.02461468396943	2.73320785022903
205870_at	4.28174005604624	4.214890750886	4.03687856393902	4.30991256516488	5.30024119348361	5.00784596894692
205871_at	4.47389342683889	4.80769443312087	4.61057451377432	4.12716789387651	5.32399462684515	5.37575110622725
205872_x_at	7.89954901215959	8.33197182970052	7.88302068162887	8.76325890793705	7.59143140291685	7.29218857964433
205873_at	6.60428808196317	6.94378229132703	6.73010376802322	7.13132668460932	5.96156321156093	5.60876453788023
205874_at	4.52929533746907	4.74173806877327	4.18962996854483	4.51731648109729	4.27260473327373	4.0505763042688
205875_s_at	7.27859293089861	7.30136398530665	7.24070769281624	7.27831511946517	6.80824187673097	6.57917648148208
205876_at	4.81932703812268	4.51563924385193	4.79726986563499	4.91396249483112	5.36934637036902	5.5304072952694
205877_s_at	6.91327977940938	6.97641018996717	6.99197123808445	7.12325332303378	7.03381155195701	6.92563012756147
205878_at	5.14599194519867	4.8702377213465	5.42858128904546	4.48977317667884	4.81182245402636	4.7803626743693
205879_x_at	7.66937320369235	8.52252482009053	7.82539604601372	7.97085816699135	8.06321224432756	8.18457362466641
205880_at	8.38714695621923	7.68180791513937	8.27861740830713	7.80726491734881	9.21149290760875	8.95305210189317
205881_at	6.91555685738217	6.76246678948218	6.88199980819621	6.68979597063657	6.4587182474992	6.44408522172747
205882_x_at	8.77491569513454	9.12042018681097	8.90944559678297	9.036754615529	10.3280862937004	10.6915128303047
205883_at	7.41891588835617	6.6267354925344	7.38726403416158	7.10226140914845	5.39112569195989	5.22205614712777
205884_at	5.0957625353374	4.69898291057852	5.1531150019141	4.69426688043981	8.03762549431261	8.27531477135
205885_s_at	4.90588304970969	4.88695127697495	5.01051632407634	5.00865109522594	7.54138567795429	8.07937145340475
205886_at	4.37727699488151	4.30262932268477	4.06783943441431	4.12804614270346	4.47382006938034	4.20881019993089
205887_x_at	5.90088443698796	6.11455770605568	6.18127905268436	5.63114454177273	5.9712111632863	5.90962410024223
205888_s_at	9.33150303484315	9.70548542291972	9.46570694883469	9.26448012895859	9.06678028603711	8.82472467070287
205889_s_at	6.25879249045364	7.05802843400616	6.37485615905687	6.59586132868569	7.07927391974911	6.76328068103216
205890_s_at	3.19812151527493	3.3852749799545	3.18085041270477	3.03224633119376	2.97212132050639	3.15063159931675
205891_at	7.52380137555265	7.39927070665614	7.59618644517495	7.61389433318295	7.59670320205936	7.84917033023947
205892_s_at	2.37046380646003	2.5064990104494	2.35582810948278	2.34236893482254	2.49763834998151	2.42107262313091
205893_at	2.59132951167813	2.48136678652674	2.72592605363237	2.52364489232047	2.61809487064907	2.76651324976084
205894_at	3.33163597451481	3.35374616915157	3.67273683938062	3.52512769034456	3.52512769034456	3.26823978816487
205895_s_at	9.1950543118797	9.11076209218909	9.21364907860943	9.5145312242476	7.67567303320568	7.88772626694782
205896_at	3.45218465340424	3.25839607784716	3.18104988661626	4.05635388112413	4.57719725118084	4.78502035467098
205897_at	5.87605947392084	5.77924530618268	5.86316607631516	5.93578625615759	5.94919268220491	6.04064308450101
205898_at	3.01743498713006	3.15108718176982	3.01270554017198	3.15139515592397	2.95736753946023	2.85964443300112
205899_at	4.04422073082078	4.71056709781405	4.02463194637	4.47447429374384	4.26638278779119	3.94232841235647
205900_at	3.79357135680984	3.67087095120799	3.72570357547677	3.58927021453244	3.74909349194741	3.5111542308231
205901_at	4.24427872843169	4.23909921110633	4.13223632196938	4.38830714818508	3.93882229110163	3.98178653611148
205902_at	4.06783943441431	4.14117719726857	4.20879587940709	4.20271186524754	5.42466253464403	5.37726953862328
205903_s_at	3.68863876639992	3.94797743064895	3.42738398333429	3.50277114470624	4.37105560521995	4.80807881868366
205904_at	7.62184749879119	7.19506288250061	7.49240434634217	7.46235858302243	7.03967196862048	7.03602459870151
205905_s_at	8.16582214432582	7.83861560313541	8.13957816455908	8.12204859321059	7.707581646233	7.61529697720934
205906_at	4.08142157889663	4.22296330619079	4.31932305778817	4.1105590643471	4.14117719726857	4.0296296818911
205907_s_at	2.40511607445299	2.46030232656715	2.31884684210128	2.56326349999962	2.67872415746052	2.54770907165975
205908_s_at	2.7637000763603	2.47292128235362	2.55443888309188	2.65629300502545	2.64876991292902	2.51445499601166
205909_at	9.24695306978329	9.38190121265086	9.22215621945564	9.11052649845966	6.44387149223838	5.91562533851013
205910_s_at	4.6482672488836	4.65337851971549	4.86379716884264	4.11229502130063	4.6482672488836	4.23703092737584
205911_at	4.32622441190157	4.35947514564092	4.25236312025531	4.70813232989057	4.97655405425053	4.59986747612338
205912_at	2.82798370270689	2.62414907232362	2.79173205329924	2.83350685572895	2.905957065118	2.86290228183979
205913_at	4.66049554987635	4.56381565078299	4.5800164415282	4.59934194588372	4.53466555904188	4.64585440763362
205914_s_at	3.6122062306097	3.43432759603231	3.34706013987737	3.89105157740215	3.46778938792111	3.40618597709959
205915_x_at	4.78172752913949	4.77452370759322	4.69278247240734	4.679057714182	4.86289435215778	4.92703721599181
205916_at	3.14559139147131	3.36738407325398	2.90258302819473	3.25091716788316	2.94969970606889	3.27643217575083
205917_at	7.73178725220795	7.71623995368809	7.74805658800064	7.46482851085256	8.18190862721457	8.10458628779062
205918_at	3.73973423550674	3.94184108654959	3.81773173711018	3.81872308440856	4.4897487170545	4.00044451030634
205919_at	3.93599981297284	3.7081660306032	3.99257963212831	3.73245349487641	4.08391116605191	3.61714282442977
205920_at	4.08593909495406	3.9566564713997	4.06204026973004	4.35312819546676	3.55942612848897	3.97983712642961
205921_s_at	2.9085821793166	2.90350023552737	2.7482308203684	2.88537750064608	2.59270324846954	2.76071936548646
205922_at	3.3373450904548	3.32467348944388	2.98538243749186	3.2460771616491	2.97423860357028	3.24769098490278
205923_at	3.23986394547726	3.54527685288911	3.59909893692043	3.24060465476012	3.52457746553916	3.27643217575083
205924_at	6.46447415762757	6.74687988294671	6.45508953553233	7.1282749526446	5.19809783870592	6.04673003061541
