	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679859_11B.CEL	GSM679860_12B.CEL
201162_at	6.10408735501418	5.61972514281449	5.99935650431713	7.0380727419824	12.0738818605388	12.2196647043312
201163_s_at	5.02321613918699	4.39918420703374	4.81235002590065	6.36071617550043	11.9287569109742	11.7271610787009
201164_s_at	10.3236525938315	10.5111030095687	10.4314831269147	10.4199700534942	10.8495816267702	10.7000538728801
201165_s_at	10.2333974129456	10.3653808288452	10.2503660495101	10.2106887835456	10.5942391673754	10.5964227976659
201166_s_at	10.8958312045266	11.0739926750235	10.837098910854	10.7892560136629	11.2625566907952	11.1702265210707
201167_x_at	7.17515819021341	7.07713232835462	7.1806252937965	7.15695956750829	6.69317692051061	6.51323283986542
201168_x_at	9.23671223815404	9.11396503341476	9.24753932447357	9.44281087057038	8.81227391465392	8.93117048189225
201169_s_at	4.23425731893558	4.84619870320785	4.13362843128339	4.33831598114987	7.06798331110551	6.87825658614118
201170_s_at	6.33406845013291	7.25590394588411	6.34849592256894	6.71416412922368	10.5232437965571	10.6143539847237
201171_at	6.75431023084465	6.60639977703486	6.74506809580505	6.29507890728402	6.40070336051238	6.2163388158842
201172_x_at	11.0350346096938	10.9376395996792	11.014557013443	11.0380456671269	11.3243291972239	11.3061619935462
201173_x_at	11.152129880416	11.1520417388692	11.1441948325799	11.1400713101795	10.0711697182347	10.0634577258087
201174_s_at	8.82075516704139	9.02710600591275	8.92757232339308	8.89844084276621	9.61488257745597	9.45149463096632
201175_at	10.8067105058054	10.9310062152997	10.8421339627064	10.968479746733	9.83476407267551	9.61748188894606
201176_s_at	10.233075562314	10.2082045398385	10.2363434158818	10.2480816292405	10.6447383975092	10.6709591791102
201177_s_at	10.8176954814557	10.776587255395	10.7847227386512	10.8437538682097	10.2530092526953	10.0620587940558
201178_at	9.86588227607143	9.8480039953545	9.89341144342065	9.84105486413934	9.9567469914153	9.8919527178275
201179_s_at	8.78689406736825	8.70181182382964	8.91011459293145	8.91830574724949	7.99830908852851	7.96233544451719
