	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679856_19A.CEL	GSM679855_15A.CEL	GSM679854_11A.CEL
219096_at	6.75748481347396	6.73637731915659	6.51050711241047	6.85799661814654	6.74520547385563	6.73637731915659	6.65976206176762
219097_x_at	9.52674018529409	9.50671297245363	9.58274777134772	9.5083196193943	9.43914313080367	9.45959385085847	9.43540653501132
219098_at	8.65410209616756	8.45580006316063	8.48804799372247	8.64647220914655	7.19250858286974	7.17561018866187	7.0191998457951
219099_at	8.07789291845285	7.70557891766568	8.16861835946362	8.04791635353154	6.28899725229645	6.06239202607055	6.09245589628049
219100_at	7.70777424890225	7.83314186326602	7.84653812713201	7.55469655625553	8.45693572485024	8.51927807130843	8.51137743046224
219101_x_at	5.45932074642619	5.80335269264594	5.25921101207059	5.66188562688509	5.95540005444323	5.90240283620209	5.83022196605181
219102_at	5.67995107445505	5.96067136086067	5.72932901216447	5.67995107445505	5.17083839312377	5.67995107445505	5.52966064888528
219103_at	3.98518622764889	4.0000626286872	4.09023822898449	3.89824092416872	4.5923924247822	4.68686271579836	4.45210959578819
219104_at	8.10403930098286	8.2900950293446	8.14783164111078	8.49118042610835	7.29902777436131	7.27856375744593	7.51022368164278
219105_x_at	9.99125974730596	10.1644332993844	9.98460282395643	9.60650277603814	7.76545519246006	7.62481659507147	7.70128059115808
219106_s_at	3.04177022538883	3.04177022538883	2.63581918472667	2.76135227933659	3.29569875838168	3.17445579583999	3.53283778374306
219107_at	4.61533039037799	4.61533039037799	4.54159442407127	4.66909993227309	4.63842457511114	4.52410853834825	4.61533039037799
219108_x_at	9.31389411558107	9.19308341285538	9.35408408684211	9.29046727927156	8.82807402594268	8.9213222883336	8.96852625281969
219109_at	7.54839508172802	7.54839508172802	7.50017528557468	7.33710947277464	7.84985568025158	7.64592556206185	7.83254554960834
219110_at	9.32521796565751	9.2104913654222	9.3311573097631	9.3568155478661	8.59908253654064	8.65251825574185	8.54433648904912
219111_s_at	7.68590830296256	7.55827011304351	7.76128687836096	7.73624807603899	7.00094680696911	7.17505029807347	7.09405847786348
219112_at	5.9285810415505	6.07639499286823	6.05485550570766	5.77541493064338	5.69096779710091	5.9285810415505	5.83226254917342
219113_x_at	4.7178144881893	4.9449178596826	4.7198961798367	4.86881336093878	5.84399759836667	5.78993494688418	5.84399759836667
219114_at	5.69393482239405	5.5091840834092	5.2270091373526	5.59354298545508	6.00879297975942	5.99505258966526	6.00376609199096
219115_s_at	2.68037847174066	2.38300301582205	2.81665997570566	2.5809108685543	2.61981479886002	2.56197018667437	2.68543573181147
219116_s_at	6.61259957650068	6.49039195325947	6.69730852583265	6.49039195325947	6.26277264301688	6.49039195325947	6.40022509671457
